,yhat
2025-09-10 01:23:40,2934.439910218469
2025-09-10 01:23:50,2673.6310860083177
2025-09-10 01:24:00,2518.0710556035933
2025-09-10 01:24:10,2474.12100983869
2025-09-10 01:24:20,1960.599422480343
2025-09-10 01:24:30,1983.152735438649
2025-09-10 01:24:40,1873.27762102639
2025-09-10 01:24:50,2067.583086513332
2025-09-10 01:25:00,1967.5389033905913
2025-09-10 01:25:10,2056.0172849962523
2025-09-10 01:25:20,2128.303544478001
2025-09-10 01:25:30,2036.9337124930705
2025-09-10 01:25:40,2060.6436056030843
2025-09-10 01:25:50,2062.9567659065
2025-09-10 01:26:00,2291.959635944682
2025-09-10 01:26:10,2420.9183228601223
2025-09-10 01:26:20,2789.2891011791166
2025-09-10 01:26:30,2821.67334542694
2025-09-10 01:26:40,2405.8827808879187
2025-09-10 01:26:50,2522.6973762104253
2025-09-10 01:27:00,2555.081620458249
2025-09-10 01:27:10,2774.8318492827666
2025-09-10 01:27:20,2356.1498343644753
2025-09-10 01:27:30,2245.6964298763623
2025-09-10 01:27:40,2251.479330634902
2025-09-10 01:27:50,2298.3208267790756
2025-09-10 01:28:00,2242.8049794970925
2025-09-10 01:28:10,2366.559055729847
2025-09-10 01:28:20,2533.1065975757974
2025-09-10 01:28:30,2445.784796121844
2025-09-10 01:28:40,2390.268948839861
2025-09-10 01:28:50,2163.579239105095
2025-09-10 01:29:00,2178.614781077299
2025-09-10 01:29:10,2237.0220787385524
2025-09-10 01:29:20,2397.7867198259623
2025-09-10 01:29:30,2252.0576207107565
2025-09-10 01:29:40,2230.6608879041582
2025-09-10 01:29:50,2248.587880255632
2025-09-10 01:30:00,2430.1709640737863
2025-09-10 01:30:10,2257.840521469296
2025-09-10 01:30:20,2144.4956666019134
2025-09-10 01:30:30,2131.1949948572715
2025-09-10 01:30:40,2507.661834238221
2025-09-10 01:30:50,1952.5033614183874
2025-09-10 01:31:00,2209.8424451734145
2025-09-10 01:31:10,1986.044185817919
2025-09-10 01:31:20,2617.5369486504806
2025-09-10 01:31:30,2115.5811628092133
2025-09-10 01:31:40,2107.485101747258
2025-09-10 01:31:50,2293.1162160963895
2025-09-10 01:32:00,2367.715635881555
2025-09-10 01:32:10,2466.6032388525878
2025-09-10 01:32:20,2450.98940680453
2025-09-10 01:32:30,3161.707910029089
2025-09-10 01:32:40,2662.643574567092
2025-09-10 01:32:50,2557.973070837519
2025-09-10 01:33:00,2392.0038190674227
